4899275,11772309,月海浪花,多少人以朋友的名义默默的爱着！！！,10.5万,2014年10月14日
1307786592,271798497,六颗柿子,怀抱既然不能逗留。,161,2018年11月24日
1204406669,125508306,Lift_Me_Up,在自己听歌排行里面才找到这首，听了8年了 等大学毕业就十年了，可以没有做到拥有一个十年的 朋友 ，做人大失败,244,2018年8月4日
1148378167,136644564,咕噜咕噜汤,不知不觉已经听了970遍了,294,2018年6月14日
1103797430,55791086,Xy_小唐,十年前后悔自己没有和他表白，哪怕被拒绝,177,2018年5月1日
672583484,511936445,沙啤狗的忧伤,后悔错过,172,2018年1月15日
639950891,136644564,咕噜咕噜汤,听了739次，不对，是740次了,432,2017年12月13日
632504000,72183756,我本这书生,,106,2017年12月4日
610148100,78345019,甜梦似你,听着喜欢的女孩说她正在被追求的故事，心里高兴也难受。算了吧，可能这辈子摊上了，她过得好就行…有我没我没关系的…,303,2017年11月10日
578005289,124687960,lw卢苇,是啊，我爱你，可我们只能是朋友,158,2017年10月6日
502672522,119874131,KOBE丶OUPLI,真才是爱情的真谛。感人。,311,2017年8月8日
502677218,115953533,bing临陈下,听说Eason的这首歌唱的好的人都去做护士了 歌名不再是十年而是实验 牵手不是为了做朋友而是抽血 颤抖的不是分手而是被针扎的手 渐渐熟悉的不是街头是插针的技术,261,2017年8月8日
502656671,129455791,Little_Trick,2008年8月8日晚 爸爸加班张逸扬和老妈在沙发上看北京奥运会开幕式吃着一根黑米雪糕那个时候我马上就上二年级了2017年8月8日晚爸爸在山东张逸扬和老妈去逛家乐福淋了大雨买了一杯麦乐酷这个时候我马上就高二年级了:(马上就十年了 真的很快,435,2017年8月8日
502657482,557782245,再见你好170803,加油 不要害怕,80,2017年8月8日
502655608,342601941,Wkk0207,不知道怎么安慰你，一切语言文字都显得那么无力，我也经历了同样差不多的事，不要祝福…即使不能忘记，也要学会假装云淡风轻的不在乎，重新开始，丰富自己！加油,76,2017年8月8日
502642914,557782245,再见你好170803,我爱她十年了 去年我们分手了 但是我也没有改变我爱她的心 我想她了,118,2017年8月8日
