7033551,9041338,漉吃花CHiHUA,为什么他的歌都这么的 好 听!,9667,2014年12月13日
1610207527,251564955,等她的君,你是换了个充气的吧,2,2019年8月26日
1609977865,270556279,隐夜满天星,我爱上他的声音了,3,2019年8月26日
1609946169,485826652,牛牛Nrk,然而谁都没有说什么,1,2019年8月26日
1609950072,592821970,顾安却不心安,好听,3,2019年8月26日
1609914730,113905389,卿白,这首歌喜欢很多年了 但是呢 也只能相信 爱有奇迹了 有的吧 也许,2,2019年8月26日
1609812809,40944226,风沙行,但我愿意相信，哪怕只有万分之一的可能,0,2019年8月25日
1609826618,1591397557,Christmas-Weirdo,真的把所有的歌听下去，所有歌的副歌部分都会唱甚至有些能把一整首都哼出来。,3,2019年8月25日
1609682254,535381480,少少与多多,我可以说你的每首歌都是我的回忆吗，为什么最近你不出新歌了,4,2019年8月25日
1609604949,565573283,默契瑞宝,好刚哈哈哈,1,2019年8月25日
1609589970,1572190018,风中追风_hPLB,我的妈妈六十多岁了，他超喜欢薛之谦和张学友，今天我听了小刚的青花，她竟然让我放给她听。妈妈说:他的声音真好听。我妈妈内向腼腆，可就是这样的她，竟然跟着小刚的调调轻轻哼唱着。终有一天，我们也会和父母一样老去，可热爱的定律永远相同，你的美丽善良，永远会被心爱的人记住。,33,2019年8月25日
